id,university,typical,subject,start,end,term,first_result,interview_date,final_result
94,연세대학교,학생부종합전형,도시공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
95,연세대학교,학생부종합전형,사회환경시스템공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
96,연세대학교,학생부종합전형,기계공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
97,연세대학교,학생부종합전형,신소재공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
98,연세대학교,학생부종합전형,산업공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
99,연세대학교,학생부종합전형,컴퓨터과학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
100,연세대학교,학생부종합전형,시스템생물학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
101,연세대학교,학생부종합전형,생화학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
102,연세대학교,학생부종합전형,생명공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
103,연세대학교,학생부종합전형,신학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
104,연세대학교,학생부종합전형,정치외교학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
105,연세대학교,학생부종합전형,행정학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
106,연세대학교,학생부종합전형,사회복지학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
107,연세대학교,학생부종합전형,사회학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
108,연세대학교,학생부종합전형,문화인류학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
109,연세대학교,학생부종합전형,언론홍보영상학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
110,연세대학교,학생부종합전형,의류환경학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
111,연세대학교,학생부종합전형,식품영양학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
112,연세대학교,학생부종합전형,실내건축학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
113,연세대학교,학생부종합전형,아동가족학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
114,연세대학교,학생부종합전형,생활디자인학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
115,연세대학교,학생부종합전형,교육학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
116,연세대학교,학생부종합전형,간호학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
117,연세대학교,학생부종합전형,의예과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
118,연세대학교,학생부종합전형,치의예과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
119,연세대학교,활동우수자전형,국어국문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
120,연세대학교,활동우수자전형,중어중문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
121,연세대학교,활동우수자전형,영어영문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
122,연세대학교,활동우수자전형,독어독문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
123,연세대학교,활동우수자전형,불어불문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
124,연세대학교,활동우수자전형,노어노문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
125,연세대학교,활동우수자전형,사학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
126,연세대학교,활동우수자전형,철학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
127,연세대학교,활동우수자전형,문헌정보학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
128,연세대학교,활동우수자전형,심리학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
129,연세대학교,활동우수자전형,경제학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
130,연세대학교,활동우수자전형,응용통계학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
